,provider_name,address1,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,last_report_date,provider_status,:@computed_region_pqdx_y6mm,npi,address2,provider_note
269,VALLEY DRUG STORE,318 East Erie,Missouri Valley,Harrison,IA,51555,00069-1101-20,Renal Paxlovid,0.0,"{'type': 'Point', 'coordinates': [-95.890796, 41.556285]}",2022-09-11T00:00:00.000,UNKNOWN INVENTORY,16.0,1700942802.0,,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
270,KIOWA DIST HOSPITAL CLINIC,1002 S 4TH ST,Kiowa,Barber,KS,67070,00310-7442-02,Evusheld,24.0,"{'type': 'Point', 'coordinates': [-98.48938, 37.00599]}",2022-10-03T00:00:00.000,ACTIVE,17.0,,,
271,WALGREENS STORE #05643,540 MOUNTAIN VIEW RD,Rapid City,Pennington,SD,57702,00069-1101-20,Renal Paxlovid,12.0,"{'type': 'Point', 'coordinates': [-103.251435, 44.081485]}",2022-09-29T00:00:00.000,ACTIVE,42.0,1548275647.0,,
272,WALGREENS STORE #17302,1047 THORNDIKE ST,Palmer,Hampden,MA,1069,00006-5055-06,Lagevrio (molnupiravir),48.0,"{'type': 'Point', 'coordinates': [-72.328934, 42.159762]}",2022-09-29T00:00:00.000,ACTIVE,22.0,1417472770.0,,
273,Walmart Pharmacy #1602,3401 Freedom Dr,Springfield,Sangamon,IL,62704,00006-5055-06,Lagevrio (molnupiravir),48.0,"{'type': 'Point', 'coordinates': [-89.70972, 39.75212]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1659398923.0,,
274,Meijer Store 154,8375 E 96th Street,Indianapolis,Marion,IN,46256,00069-1085-30,Paxlovid,15.0,"{'type': 'Point', 'coordinates': [-86.02512, 39.92633]}",2022-10-03T00:00:00.000,ACTIVE,15.0,1609146414.0,Deliver to Pharmacy,
275,WALGREENS STORE #05107,1701 E KENSINGTON RD,Mount Prospect,Cook,IL,60056,00006-5055-06,Lagevrio (molnupiravir),37.0,"{'type': 'Point', 'coordinates': [-87.9067, 42.08014]}",2022-09-29T00:00:00.000,ACTIVE,14.0,1184639361.0,,
276,CVS STORE #06076,110 MAIN STREET,Hackensack,Bergen,NJ,7601,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-74.04517, 40.87435]}",2022-09-30T00:00:00.000,ACTIVE,31.0,1568565380.0,CVS Pharmacy,
277,Walmart Pharmacy #1314,3795 BUFORD DR,Buford,Gwinnett,GA,30519,00069-1101-20,Renal Paxlovid,1.0,"{'type': 'Point', 'coordinates': [-83.99014, 34.08838]}",2022-10-03T00:00:00.000,ACTIVE,11.0,1023035342.0,,
278,Walmart Pharmacy #4147,3560 Davis Dr,Morrisville,Wake,NC,27560,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-78.8456, 35.81789]}",2022-10-03T00:00:00.000,ACTIVE,34.0,1114361011.0,,
279,Rite Aid 10515,220 ROUTE 70,Toms River,Ocean,NJ,8755,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-74.24301, 40.03622]}",2022-10-03T00:00:00.000,ACTIVE,31.0,1861591000.0,,
280,CASTLE HILL COMMUNITY PHARMACY,706 CASTLE HILL AVE,Bronx,Bronx,NY,10473,00006-5055-06,Lagevrio (molnupiravir),13.0,"{'type': 'Point', 'coordinates': [-73.848571, 40.821343]}",2022-09-28T00:00:00.000,ACTIVE,33.0,1689657835.0,,
281,WALGREENS STORE #11810,6701 FRANK AVE NW,North Canton,Stark,OH,44720,00006-5055-06,Lagevrio (molnupiravir),117.0,"{'type': 'Point', 'coordinates': [-81.44188, 40.87859]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1083862973.0,,
282,WALGREENS STORE #16139,1821 HILLANDALE RD,Durham,Durham,NC,27705,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-78.936662, 36.031585]}",2022-09-29T00:00:00.000,ACTIVE,34.0,1013343961.0,STE 23,
283,Rite Aid 11162,1856 NORTH BROAD STREET,Lansdale,Montgomery,PA,19446,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-75.26619, 40.25876]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1548369721.0,,
284,Stop and Shop Store # 663,1360 EAST TOWN ROAD,Milford,New Haven,CT,6460,00069-1101-20,Renal Paxlovid,9.0,"{'type': 'Point', 'coordinates': [-73.03025, 41.23697]}",2022-10-03T00:00:00.000,ACTIVE,7.0,1932131802.0,,
285,WALGREENS STORE #06521,2609 E MAIN ST,Springfield,Clark,OH,45503,00006-5055-06,Lagevrio (molnupiravir),45.0,"{'type': 'Point', 'coordinates': [-83.768405, 39.923045]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1043225071.0,,
286,CVS Store #08788,1812 E. CHARLESTON BLVD.,Las Vegas,Clark,NV,89104,00006-5055-06,Lagevrio (molnupiravir),15.0,"{'type': 'Point', 'coordinates': [-115.124675, 36.15766]}",2022-09-30T00:00:00.000,ACTIVE,29.0,1407890874.0,CVS Pharmacy,
287,WALGREENS STORE #07719,663 E AURORA RD,Macedonia,Summit,OH,44056,00006-5055-06,Lagevrio (molnupiravir),12.0,"{'type': 'Point', 'coordinates': [-81.51555, 41.314315]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1790790749.0,,
288,Rite Aid 04726,1914 BAILEY ROAD,Cuyahoga Falls,Summit,OH,44221,00006-5055-06,Lagevrio (molnupiravir),24.0,"{'type': 'Point', 'coordinates': [-81.46629, 41.13262]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1144339490.0,,
289,CVS STORE #05822,11200 LINCOLN HWY,Mokena,Will,IL,60448,00006-5055-06,Lagevrio (molnupiravir),14.0,"{'type': 'Point', 'coordinates': [-87.88974, 41.50408]}",2022-09-30T00:00:00.000,ACTIVE,14.0,1811091754.0,CVS Pharmacy,
290,Walmart Pharmacy #3168,2550 Prince St,Conway,Faulkner,AR,72034,00069-1085-30,Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-92.46308, 35.09466]}",2022-10-03T00:00:00.000,ACTIVE,4.0,1164763157.0,,
291,WALGREENS STORE #07174,1195 N STATE ST,Greenfield,Hancock,IN,46140,00069-1085-30,Paxlovid,17.0,"{'type': 'Point', 'coordinates': [-85.769125, 39.79905]}",2022-09-29T00:00:00.000,ACTIVE,15.0,1336154483.0,,
292,Hannaford Brothers Store # 8191,66-2 DRUM HILL SHOPPING CTR.,Chelmsford,Middlesex,MA,1824,00069-1085-30,Paxlovid,31.0,"{'type': 'Point', 'coordinates': [-71.36458, 42.62323]}",2022-10-03T00:00:00.000,ACTIVE,22.0,1619085099.0,,
293,Rite Aid 01320,640 MONTGOMERY AVENUE,Narberth,Montgomery,PA,19072,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-75.25463, 40.00922]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1275622912.0,,
294,CVS Store #02565,110 REUTER BLVD,Towanda,Bradford,PA,18848,00069-1101-20,Renal Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-76.450005, 41.78351]}",2022-09-30T00:00:00.000,ACTIVE,39.0,1376647164.0,CVS Pharmacy,
295,KROGER PHARMACY 02100936,1890 E SECOND ST,Defiance,Defiance,OH,43512,00006-5055-06,Lagevrio (molnupiravir),22.0,"{'type': 'Point', 'coordinates': [-84.32836, 41.28397]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1427121946.0,,
296,Thrifty Drug Stores Inc,112 South Main Street,Hettinger,Adams,ND,58639,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-102.63666, 46.00101]}",2022-09-19T00:00:00.000,UNKNOWN INVENTORY,35.0,1396835237.0,,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
297,CVS Store #11169,7402 WEST FAIRVIEW AVE,Boise,Ada,ID,83704,00069-1085-30,Paxlovid,29.0,"{'type': 'Point', 'coordinates': [-116.27466, 43.61997]}",2022-09-30T00:00:00.000,ACTIVE,13.0,1265912901.0,CVS Pharmacy,
298,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 West Maple Rd.,West Bloomfield,Oakland,MI,48322,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-83.40679, 42.53828]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1891889143.0,,
299,CVS Store #04589,869 HORIZON SOUTH PARKWAY,Grovetown,Columbia,GA,30813,00069-1085-30,Paxlovid,48.0,"{'type': 'Point', 'coordinates': [-82.1942, 33.45917]}",2022-09-30T00:00:00.000,ACTIVE,11.0,1477656247.0,CVS Pharmacy,
300,OSCO PHARMACY,2855 W 95TH ST,Naperville,Will,IL,60564,00006-5055-06,Lagevrio (molnupiravir),9.0,"{'type': 'Point', 'coordinates': [-88.20226, 41.70989]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1033165568.0,,
301,WALGREENS STORE #10569,2249 YOUNGSTOWN WARREN RD,Niles,Trumbull,OH,44446,00006-5055-06,Lagevrio (molnupiravir),48.0,"{'type': 'Point', 'coordinates': [-80.71771, 41.18242]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1659408417.0,,
302,Walmart Pharmacy #1655,1835 S US Highway 231,Crawfordsville,Montgomery,IN,47933,00069-1085-30,Paxlovid,120.0,"{'type': 'Point', 'coordinates': [-86.90726, 40.01299]}",2022-10-03T00:00:00.000,ACTIVE,15.0,1669490512.0,,
303,Rite Aid 01472,2775 PORT SHELDON STREET,Jenison,Ottawa,MI,49428,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-85.85095, 42.88809]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1700808813.0,,
304,SMITHS PHARMACY 70600085,980 FORT UNION BLVD,Midvale,Salt Lake,UT,84047,00069-1101-20,Renal Paxlovid,14.0,"{'type': 'Point', 'coordinates': [-111.86376, 40.62161]}",2022-10-03T00:00:00.000,ACTIVE,45.0,1013932649.0,,
305,WALGREENS STORE #15852,1328 RED WOLF BLVD,Jonesboro,Craighead,AR,72401,00069-1085-30,Paxlovid,20.0,"{'type': 'Point', 'coordinates': [-90.66797, 35.82901]}",2022-09-29T00:00:00.000,ACTIVE,4.0,1710060124.0,,
306,RAY PHARMACY,187 NORTH AVE,Dunellen,Middlesex,NJ,8812,00069-1101-20,Renal Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-74.462513, 40.59223]}",2022-09-30T00:00:00.000,ACTIVE,31.0,1104241363.0,,
307,Walmart Pharmacy #5298,223 N Myrtle School Rd,Gastonia,Gaston,NC,28052,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-81.22605, 35.26102]}",2022-10-03T00:00:00.000,ACTIVE,34.0,1225055494.0,,
308,CVS Store #10833,"1101 NEW YORK AVE, NW",Washington,District of Columbia,DC,20005,00069-1085-30,Paxlovid,27.0,"{'type': 'Point', 'coordinates': [-77.0278, 38.90094]}",2022-09-30T00:00:00.000,ACTIVE,9.0,1942781810.0,CVS Pharmacy,
309,Burton Pharmacy,3020 E. Atherton Road,Burton,Genesee,MI,48529,00069-1101-20,Renal Paxlovid,14.0,"{'type': 'Point', 'coordinates': [-83.65235, 42.98908]}",2022-09-20T00:00:00.000,ACTIVE,23.0,1114684438.0,,
310,Rite Aid 10934,2336 ARDMORE BOULEVARD,Pittsburgh,Allegheny,PA,15221,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-79.84896, 40.4152]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1013016351.0,,
311,HH PHARMACY HUNTSVILLE HOSPITAL,101 Sivley Rd,Huntsville,Madison,AL,35801,00069-1085-30,Paxlovid,49.0,"{'type': 'Point', 'coordinates': [-86.5818, 34.72105]}",2022-10-03T00:00:00.000,ACTIVE,1.0,1912125048.0,2nd floor Huntsville Hospital Main,
312,Hannaford Brothers Store # 8364,"2967 US HIGHWAY 9, SUITE 400",Valatie,Columbia,NY,12184,00006-5055-06,Lagevrio (molnupiravir),39.0,"{'type': 'Point', 'coordinates': [-73.68933, 42.42837]}",2022-10-03T00:00:00.000,ACTIVE,33.0,1669552634.0,,
313,Rite Aid 06733,503 CLIFTON ROAD,Bethel Park,Allegheny,PA,15102,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-80.064825, 40.31226]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1396236733.0,,
314,CVS Store #10941,10460 NORRIS FERRY ROAD,Shreveport,Caddo,LA,71106,00006-5055-06,Lagevrio (molnupiravir),31.0,"{'type': 'Point', 'coordinates': [-93.71453, 32.35554]}",2022-09-30T00:00:00.000,ACTIVE,19.0,1750730057.0,CVS Pharmacy,
315,CHI Health Pharmacy-Midlands,11109 S 84th St,Papillion,Sarpy,NE,68046,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-96.040515, 41.13625]}",2022-10-03T00:00:00.000,ACTIVE,28.0,,Suite 1841,
316,SMITHS PHARMACY 70600367,9710 SKYE CANYON PARK DR,Las Vegas,Clark,NV,89166,00069-1085-30,Paxlovid,29.0,"{'type': 'Point', 'coordinates': [-115.306041, 36.314154]}",2022-10-03T00:00:00.000,ACTIVE,29.0,1659862852.0,,
317,CVS Store #02324,"12902 EAST 96TH STREET, NORTH",Owasso,Tulsa,OK,74055,00069-1101-20,Renal Paxlovid,11.0,"{'type': 'Point', 'coordinates': [-95.8295, 36.29243]}",2022-09-30T00:00:00.000,ACTIVE,37.0,1588971956.0,CVS Pharmacy,
318,CVS Store #03381,3883 PARK MILL RUN DRIVE,Hilliard,Franklin,OH,43026,00006-5055-06,Lagevrio (molnupiravir),18.0,"{'type': 'Point', 'coordinates': [-83.11701, 40.03239]}",2022-09-30T00:00:00.000,ACTIVE,36.0,1508960337.0,CVS Pharmacy,
319,WALGREENS STORE #19839,650 E WASHINGTON AVE,Ashburn,Turner,GA,31714,00069-1085-30,Paxlovid,45.0,"{'type': 'Point', 'coordinates': [-83.642115, 31.70958]}",2022-09-29T00:00:00.000,ACTIVE,11.0,1699290999.0,,
320,WALGREENS STORE #04055,1717 MILTON AVE,Janesville,Rock,WI,53545,00006-5055-06,Lagevrio (molnupiravir),58.0,"{'type': 'Point', 'coordinates': [-89.00725, 42.70489]}",2022-09-29T00:00:00.000,ACTIVE,50.0,1558376442.0,,
321,Rite Aid 04564,531 WEST GENESEE AVENUE,Saginaw,Saginaw,MI,48602,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-83.949602, 43.434775]}",2022-10-03T00:00:00.000,ACTIVE,23.0,1114933413.0,,
322,Coastal Carolina Health Care,1020 Medical Park Avenue,New Bern,Craven,NC,28560,00310-7442-02,Evusheld,30.0,"{'type': 'Point', 'coordinates': [-77.09294, 35.10556]}",2022-10-03T00:00:00.000,ACTIVE,34.0,1528623790.0,2nd Floor-Central Lab,
323,CVS Store #07974,"7355 ROSWELL RD, NE",Sandy Springs,Fulton,GA,30328,00069-1085-30,Paxlovid,23.0,"{'type': 'Point', 'coordinates': [-84.36404, 33.95605]}",2022-09-30T00:00:00.000,ACTIVE,11.0,1689807018.0,CVS Pharmacy,
324,CVS Store #05521,3423 CYPRESS ST,West Monroe,Ouachita,LA,71291,00006-5055-06,Lagevrio (molnupiravir),59.0,"{'type': 'Point', 'coordinates': [-92.16081, 32.51682]}",2022-09-30T00:00:00.000,ACTIVE,19.0,1790889632.0,CVS Pharmacy,
325,WALGREENS STORE #17489,6 SIMMONS PLZ,Saugerties,Ulster,NY,12477,00006-5055-06,Lagevrio (molnupiravir),159.0,"{'type': 'Point', 'coordinates': [-73.94611, 42.06615]}",2022-09-29T00:00:00.000,ACTIVE,33.0,1447776182.0,,
326,Highlands Health Free and Charitabl,315  Locust Street,Johnstown,Cambria,PA,15901,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-78.92048, 40.32735]}",2022-10-03T00:00:00.000,ACTIVE,39.0,,,
327,KROGER PHARMACY 01400910,475 FORTMAN DR,St Marys,Auglaize,OH,45885,00006-5055-06,Lagevrio (molnupiravir),18.0,"{'type': 'Point', 'coordinates': [-84.38478, 40.55455]}",2022-10-03T00:00:00.000,ACTIVE,36.0,1821029919.0,,
328,WALGREENS STORE #05344,10211 CHESTNUT PLAZA DR,Fort Wayne,Allen,IN,46814,00069-1085-30,Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-85.27553, 41.07483]}",2022-09-29T00:00:00.000,ACTIVE,15.0,1154336295.0,,
329,Meijer Store 300,3801 N Richmond St,Appleton,Outagamie,WI,54913,00006-5055-06,Lagevrio (molnupiravir),14.0,"{'type': 'Point', 'coordinates': [-88.41626, 44.29955]}",2022-10-03T00:00:00.000,ACTIVE,50.0,1659872240.0,Deliver to Pharmacy,
330,CVS STORE #17068,355 W MOUND RD,Decatur,Macon,IL,62526,00006-5055-06,Lagevrio (molnupiravir),21.0,"{'type': 'Point', 'coordinates': [-88.95817, 39.89015]}",2022-09-30T00:00:00.000,ACTIVE,14.0,1124040837.0,CVS Pharmacy,
331,WALGREENS STORE #10206,2290 NICHOLASVILLE RD,Lexington,Fayette,KY,40503,00006-5055-06,Lagevrio (molnupiravir),58.0,"{'type': 'Point', 'coordinates': [-84.517675, 38.005985]}",2022-09-29T00:00:00.000,ACTIVE,18.0,1033124276.0,,
332,CVS Store #06669,511 THIRD ST.,Covington,Fountain,IN,47932,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-87.39851, 40.13873]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1720181423.0,CVS Pharmacy,
333,CVS Store #17328,21800 TOWNE CENTER DR,Watertown,Jefferson,NY,13601,00006-5055-06,Lagevrio (molnupiravir),11.0,"{'type': 'Point', 'coordinates': [-75.96205, 43.97043]}",2022-09-30T00:00:00.000,ACTIVE,33.0,1841340163.0,CVS Pharmacy,
334,WALGREENS STORE #18974,2332 E 2100 S,Salt Lake City,Salt Lake,UT,84109,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-111.82376, 40.72536]}",2022-09-29T00:00:00.000,ACTIVE,45.0,1659894707.0,,
335,WALGREENS STORE #03666,4405 W LAYTON AVE,Greenfield,Milwaukee,WI,53220,00006-5055-06,Lagevrio (molnupiravir),162.0,"{'type': 'Point', 'coordinates': [-87.97066, 42.95888]}",2022-09-29T00:00:00.000,ACTIVE,50.0,1205841350.0,,
336,Cameron Memorial Community Hospital,306 E MAUMEE ST STE 106,Angola,Steuben,IN,46703,00069-1085-30,Paxlovid,25.0,"{'type': 'Point', 'coordinates': [-84.996888, 41.634878]}",2022-09-08T00:00:00.000,UNKNOWN INVENTORY,15.0,,,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
337,WALGREENS STORE #07140,5100 E BELTLINE AVE NE,Grand Rapids,Kent,MI,49525,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-85.57982, 43.05489]}",2022-09-29T00:00:00.000,ACTIVE,23.0,1932114071.0,,
338,West Michigan Pharmacy,20095 Gilbert Road,Big Rapids,Mecosta,MI,49307,00069-1101-20,Renal Paxlovid,8.0,"{'type': 'Point', 'coordinates': [-85.4857, 43.67092]}",2022-09-29T00:00:00.000,ACTIVE,23.0,,,
339,HODGEMAN COUNTY HEALTH CENTER,809 W BRAMLEY ST,Jetmore,Hodgeman,KS,67854,00310-7442-02,Evusheld,24.0,"{'type': 'Point', 'coordinates': [-99.90335, 38.08334]}",2022-10-03T00:00:00.000,ACTIVE,17.0,,,
340,WALGREENS STORE #17256,2139 WINCHESTER RD NE,Huntsville,Madison,AL,35811,00069-1085-30,Paxlovid,15.0,"{'type': 'Point', 'coordinates': [-86.494732, 34.817585]}",2022-09-29T00:00:00.000,ACTIVE,1.0,1568985828.0,STE A,
341,AMITA SAINT FRANCIS HOSPITAL,355 RIDGE AVE INPATIENT PHARMACY,Evanston,Cook,IL,60202,00006-5055-06,Lagevrio (molnupiravir),48.0,"{'type': 'Point', 'coordinates': [-87.684835, 42.02454]}",2022-09-29T00:00:00.000,ACTIVE,14.0,,,
342,CVS Store #02255,2640 E. CUMBERLAND ST,Philadelphia,Philadelphia,PA,19125,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-75.12083, 39.97742]}",2022-09-30T00:00:00.000,ACTIVE,39.0,1861590481.0,CVS Pharmacy,
343,CVS Store #02057,100-02 QUEENS BOULEVARD,Forest Hills,Queens,NY,11375,00006-5055-06,Lagevrio (molnupiravir),27.0,"{'type': 'Point', 'coordinates': [-73.85383, 40.72655]}",2022-09-30T00:00:00.000,ACTIVE,33.0,1023112877.0,CVS Pharmacy,
344,Walmart Pharmacy #428,5801 Main St,Zachary,East Baton Rouge,LA,70791,00006-5055-06,Lagevrio (molnupiravir),34.0,"{'type': 'Point', 'coordinates': [-91.14226, 30.65044]}",2022-10-03T00:00:00.000,ACTIVE,19.0,1801814397.0,,
345,CVS Store #10174,700 ATLANTIC AVE.,Boston,Suffolk,MA,2111,00069-1085-30,Paxlovid,15.0,"{'type': 'Point', 'coordinates': [-71.05503, 42.35197]}",2022-09-30T00:00:00.000,ACTIVE,22.0,1386061406.0,CVS Pharmacy,
346,CVS Store #06682,307 E. NATIONAL AVE.,Brazil,Clay,IN,47834,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-87.12455, 39.523335]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1972606655.0,CVS Pharmacy,
347,The Giant Company Store # 6422,4320 N. 5TH STREET HIGHWAY,Temple,Berks,PA,19560,00069-1101-20,Renal Paxlovid,2.0,"{'type': 'Point', 'coordinates': [-75.92879, 40.39965]}",2022-10-03T00:00:00.000,ACTIVE,39.0,1295981082.0,,
348,WALGREENS STORE #14449,7301 37TH AVE,Jackson Heights,Queens,NY,11372,00006-5055-06,Lagevrio (molnupiravir),22.0,"{'type': 'Point', 'coordinates': [-73.892425, 40.74907]}",2022-09-29T00:00:00.000,ACTIVE,33.0,1851317986.0,,
349,WALGREENS STORE #17252,3096 WASHINGTON RD,East Point,Fulton,GA,30344,00069-1101-20,Renal Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-84.460424, 33.671448]}",2022-09-29T00:00:00.000,ACTIVE,11.0,1033634324.0,,
350,CVS Store #06712,"292 VAN BUREN ST., SOUTH",Nashville,Brown,IN,47448,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-86.24773, 39.20227]}",2022-09-30T00:00:00.000,ACTIVE,15.0,1982707675.0,CVS Pharmacy,
351,CVS STORE #17643,1 S STATE ST,Chicago,Cook,IL,60603,00006-5055-06,Lagevrio (molnupiravir),22.0,"{'type': 'Point', 'coordinates': [-87.6273, 41.88176]}",2022-09-30T00:00:00.000,ACTIVE,14.0,1528328036.0,CVS Pharmacy,
352,WALGREENS STORE #05154,4905 W TROPICANA AVE,Las Vegas,Clark,NV,89103,00069-1085-30,Paxlovid,30.0,"{'type': 'Point', 'coordinates': [-115.208575, 36.10027]}",2022-09-29T00:00:00.000,ACTIVE,29.0,1205843182.0,,
353,WALGREENS STORE #09476,201 S CENTRAL AVE,Burlington,Des Moines,IA,52601,00069-1101-20,Renal Paxlovid,7.0,"{'type': 'Point', 'coordinates': [-91.11343, 40.80699]}",2022-09-29T00:00:00.000,ACTIVE,16.0,1174538482.0,,
354,MARCS - KAMMS CORNER,6849 Southland Dr,Middleburg Heights,Cuyahoga,OH,44130,00006-5055-06,Lagevrio (molnupiravir),10.0,"{'type': 'Point', 'coordinates': [-81.787343, 41.378766]}",2022-09-26T00:00:00.000,ACTIVE,36.0,,,
355,CVS Store #01897,6 QUEEN STREET,Newtown,Fairfield,CT,6470,00069-1085-30,Paxlovid,76.0,"{'type': 'Point', 'coordinates': [-73.30439, 41.41228]}",2022-09-30T00:00:00.000,ACTIVE,7.0,1417051335.0,CVS Pharmacy,
356,SAFEWAY PHARMACY,2150 S Downing ST,Denver,Denver,CO,80210,00006-5055-06,Lagevrio (molnupiravir),35.0,"{'type': 'Point', 'coordinates': [-104.97237, 39.67756]}",2022-10-03T00:00:00.000,ACTIVE,6.0,1184660706.0,,
357,WALGREENS STORE #03367,8011 HARPER DR NE,Albuquerque,Bernalillo,NM,87111,00069-1101-20,Renal Paxlovid,3.0,"{'type': 'Point', 'coordinates': [-106.55851, 35.15934]}",2022-09-29T00:00:00.000,ACTIVE,32.0,1346255247.0,,
358,CVS Store #07550,1309 HIGHWAY 210,Sneads Ferry,Onslow,NC,28460,00069-1101-20,Renal Paxlovid,11.0,"{'type': 'Point', 'coordinates': [-77.43445, 34.525675]}",2022-09-30T00:00:00.000,ACTIVE,34.0,1770686461.0,CVS Pharmacy,
359,WALGREENS STORE #07181,4241 GLENWAY AVE,Cincinnati,Hamilton,OH,45205,00006-5055-06,Lagevrio (molnupiravir),23.0,"{'type': 'Point', 'coordinates': [-84.58469, 39.11384]}",2022-09-29T00:00:00.000,ACTIVE,36.0,1861407868.0,,
360,Rite Aid 10886,119 WEST 2ND STREET,Elmira,Chemung,NY,14901,00006-5055-06,Lagevrio (molnupiravir),1.0,"{'type': 'Point', 'coordinates': [-76.808385, 42.09122]}",2022-10-03T00:00:00.000,ACTIVE,33.0,1730288903.0,,
361,SHIPPS DISCOUNT PHARMACY,88 WHITE OAK TRL,Warrior,Jefferson,AL,35180,00069-1085-30,Paxlovid,6.0,"{'type': 'Point', 'coordinates': [-86.82634, 33.8668]}",2022-09-09T00:00:00.000,UNKNOWN INVENTORY,1.0,1063792018.0,,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
362,CVS STORE #08764,2135 SILVERNAIL RD,Pewaukee,Waukesha,WI,53072,00006-5055-06,Lagevrio (molnupiravir),19.0,"{'type': 'Point', 'coordinates': [-88.26103, 43.04291]}",2022-09-30T00:00:00.000,ACTIVE,50.0,1144262338.0,CVS Pharmacy,
363,WALGREENS STORE #19337,101 PATTONWOOD DR,Rochester,Monroe,NY,14617,00006-5055-06,Lagevrio (molnupiravir),9.0,"{'type': 'Point', 'coordinates': [-77.60563, 43.24738]}",2022-09-29T00:00:00.000,ACTIVE,33.0,1184141756.0,,
364,WALGREENS STORE #11106,733 E FORSYTH ST,Americus,Sumter,GA,31709,00069-1101-20,Renal Paxlovid,5.0,"{'type': 'Point', 'coordinates': [-84.221325, 32.07298]}",2022-09-29T00:00:00.000,ACTIVE,11.0,1083899587.0,,
365,Walmart Pharmacy #1418,1530 WEST HWY 50,O Fallon,Saint Clair,IL,62269,00006-5055-06,Lagevrio (molnupiravir),46.0,"{'type': 'Point', 'coordinates': [-89.953711, 38.594565]}",2022-10-03T00:00:00.000,ACTIVE,14.0,1518985027.0,,
366,Rite Aid 10451,235 N MAPLE AVE,Marlton,Burlington,NJ,8053,00069-1101-20,Renal Paxlovid,4.0,"{'type': 'Point', 'coordinates': [-74.923623, 39.913141]}",2022-10-03T00:00:00.000,ACTIVE,31.0,1275634040.0,,
367,WALGREENS STORE #15471,2191 W ROOSEVELT RD,Wheaton,Du Page,IL,60187,00006-5055-06,Lagevrio (molnupiravir),43.0,"{'type': 'Point', 'coordinates': [-88.1437, 41.858595]}",2022-09-29T00:00:00.000,ACTIVE,14.0,1467889832.0,,
368,Hilo Medical Center,1190 WAIANUENUE AVENUE,Hilo,Hawaii,HI,96720,00069-1085-30,Paxlovid,43.0,"{'type': 'Point', 'coordinates': [-155.11311, 19.71782]}",2022-09-28T00:00:00.000,ACTIVE,12.0,1447499934.0,,
